lane,intrastate,shipments,avg_freight,total_freight
SP -> SP,1,35425,13.2,467496.0
SP -> RJ,0,9403,20.39,191717.0
SP -> MG,0,8567,20.25,173455.0
SP -> RS,0,4134,20.61,85183.0
SP -> PR,0,3609,20.44,73767.0
PR -> SP,0,3340,19.21,64157.0
SP -> BA,0,2626,24.32,63861.0
MG -> SP,0,2902,21.35,61943.0
SP -> SC,0,2709,20.81,56373.0
SP -> PE,0,1246,30.91,38515.0
SP -> GO,0,1657,20.48,33936.0
SP -> CE,0,1091,30.95,33762.0
SP -> ES,0,1621,20.54,33302.0
SC -> SP,0,1487,22.05,32787.0
MG -> RJ,0,1275,24.59,31353.0
SP -> DF,0,1565,19.9,31151.0
MG -> MG,1,1669,17.13,28585.0
RJ -> SP,0,1470,19.05,28006.0
PR -> RJ,0,1115,22.42,24997.0
SP -> PA,0,765,31.71,24255.0
PR -> MG,0,925,23.25,21508.0
SP -> MA,0,549,38.38,21070.0
SP -> MT,0,761,25.36,19296.0
RS -> SP,0,749,23.53,17625.0
SP -> PB,0,387,43.25,16738.0
PR -> RS,0,685,21.15,14490.0
SC -> RJ,0,531,25.84,13723.0
SP -> RN,0,368,37.15,13672.0
SP -> PI,0,362,37.64,13624.0
SC -> MG,0,476,28.58,13606.0
RJ -> RJ,1,1084,12.45,13493.0
PR -> PR,1,805,15.76,12683.0
SP -> MS,0,555,21.78,12089.0
RJ -> MG,0,612,18.41,11268.0
MG -> BA,0,413,26.38,10896.0
MG -> PR,0,412,25.29,10420.0
MG -> RS,0,310,32.42,10050.0
SP -> AL,0,273,34.36,9380.0
PR -> SC,0,443,20.46,9065.0
SP -> SE,0,237,38.16,9045.0
SP -> TO,0,226,37.54,8483.0
MG -> SC,0,281,29.22,8211.0
SP -> RO,0,195,40.55,7908.0
RS -> RJ,0,263,28.28,7438.0
SC -> RS,0,322,22.72,7314.0
PR -> BA,0,163,44.85,7310.0
SC -> PR,0,323,21.87,7064.0
DF -> SP,0,329,19.46,6402.0
RS -> MG,0,217,29.31,6360.0
BA -> SP,0,150,34.26,5138.0
RS -> RS,1,321,16.01,5138.0
SC -> SC,1,298,17.18,5121.0
MG -> ES,0,201,25.34,5094.0
PR -> DF,0,176,28.51,5017.0
MG -> GO,0,169,29.04,4909.0
RJ -> RS,0,219,21.93,4803.0
MG -> DF,0,216,22.19,4793.0
RJ -> PR,0,231,19.69,4549.0
MA -> SP,0,130,32.26,4194.0
RJ -> BA,0,142,29.19,4145.0
MG -> PE,0,115,35.97,4137.0
RJ -> PE,0,105,38.31,4022.0
PR -> ES,0,117,32.0,3744.0
GO -> SP,0,137,26.25,3596.0
ES -> SP,0,116,29.52,3425.0
SP -> AM,0,109,30.92,3370.0
PE -> SP,0,105,31.03,3258.0
RS -> PR,0,148,20.86,3087.0
RJ -> SC,0,133,22.63,3009.0
RS -> SC,0,129,20.48,2642.0
RJ -> GO,0,125,20.75,2594.0
DF -> RJ,0,105,19.92,2092.0
RJ -> ES,0,111,18.57,2061.0
DF -> MG,0,108,18.73,2023.0
RJ -> DF,0,110,17.7,1947.0
